Grammy,Year,Category,Main Artist,Artist,Cleaned Song or Album,Song or Album,Win,Cleaned Main Artist,Wiki URL,ArtistID,Song ID
60,2017,Record Of The Year,Bruno Mars,Bruno Mars,24K Magic,24K Magic,1,Bruno Mars,https://en.wikipedia.org/wiki/Bruno_Mars,A1255,S94404
60,2017,Record Of The Year,Kendrick Lamar,Kendrick Lamar,Humble,HUMBLE.,0,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S96901
60,2017,Record Of The Year,Jay-Z,JAY-Z,The Story Of O J,The Story Of O.J.,0,Jayz,https://en.wikipedia.org/wiki/Jay-Z,A102,S98322
60,2017,Record Of The Year,Luis Fonsi,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,Despacito,0,Luis Fonsi,https://en.wikipedia.org/wiki/Luis_Fonsi,A864,S95887
60,2017,Record Of The Year,Childish Gambino,Childish Gambino,Redbone,Redbone,0,Childish Gambino,https://en.wikipedia.org/wiki/Donald_Glover,A1480,S95074
60,2017,Song Of The Year,Bruno Mars,Bruno Mars,That'S What I Like,That's What I Like,1,Bruno Mars,https://en.wikipedia.org/wiki/Bruno_Mars,A1255,S95078
60,2017,Song Of The Year,Logic,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,1-800-273-8255,0,Logic,https://en.wikipedia.org/wiki/Logic_(rapper),A1687,S97360
60,2017,Song Of The Year,Julia Michaels,Julia Michaels,Issues,Issues,0,Julia Michaels,https://en.wikipedia.org/wiki/Julia_Michaels,A1739,S95986
60,2017,Song Of The Year,Jay-Z,JAY-Z,4:44,4:44,0,Jayz,https://en.wikipedia.org/wiki/Jay-Z,A102,S98334
60,2017,Song Of The Year,Luis Fonsi,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,Despacito,0,Luis Fonsi,https://en.wikipedia.org/wiki/Luis_Fonsi,A864,S95887
60,2017,Best Rap Song,Kendrick Lamar,Kendrick Lamar,Humble,HUMBLE.,1,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S96901
60,2017,Best Rap Song,Jay-Z,JAY-Z,The Story Of O J,The Story Of O.J.,0,Jayz,https://en.wikipedia.org/wiki/Jay-Z,A102,S98322
60,2017,Best Rap Song,Rapsody,Rapsody,Sassy,Sassy,0,Rapsody,https://en.wikipedia.org/wiki/Rapsody,A2255,S135826
60,2017,Best Rap Song,Danger Mouse,Danger Mouse Featuring Run The Jewels & Big Boi,Chase Me,Chase Me,0,Danger Mouse,https://en.wikipedia.org/wiki/Danger_Mouse_(musician),A2286,S135827
60,2017,Best Rap Song,Cardi B,Cardi B,Bodak Yellow,Bodak Yellow,0,Cardi B,https://en.wikipedia.org/wiki/Cardi_B,A1765,S98284
59,2016,Record Of The Year,Adele,Adele,Hello,Hello,1,Adele,https://en.wikipedia.org/wiki/Adele,A1138,S89400
59,2016,Record Of The Year,Twenty One Pilots,Twenty One Pilots,Stressed Out,Stressed Out,0,Twenty One Pilots,https://en.wikipedia.org/wiki/Twenty_One_Pilots,A1584,S86886
